Season,Home,Away,Home_Code,Away_Code,Home_Goals,Away_Goals,Win_H,Lose_H,Draw_H,Win_A,Lose_A,Draw_A
2017 - 18,Southampton,Arsenal,14,1,1,1,0,0,1,0,0,1
2017 - 18,Liverpool,Everton,10,7,1,1,0,0,1,0,0,1
2017 - 18,Man Utd,Man City,12,11,1,2,0,1,0,1,0,0
2017 - 18,West Ham,Chelsea,20,5,1,0,1,0,0,0,1,0
2017 - 18,Spurs,Stoke,15,16,5,1,1,0,0,0,1,0
2017 - 18,Swansea,West Brom,17,19,1,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Brighton,8,3,2,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Bournemouth,6,2,2,2,0,0,1,0,0,1
2017 - 18,Burnley,Watford,4,18,1,0,1,0,0,0,1,0
2017 - 18,Newcastle,Leicester,13,9,2,3,0,1,0,1,0,0
2017 - 18,Bournemouth,Southampton,2,14,1,1,0,0,1,0,0,1
2017 - 18,Man City,West Ham,11,20,2,1,1,0,0,0,1,0
2017 - 18,Leicester,Burnley,9,4,1,0,1,0,0,0,1,0
2017 - 18,Everton,Huddersfield,7,8,2,0,1,0,0,0,1,0
2017 - 18,Brighton,Liverpool,3,10,1,5,0,1,0,1,0,0
2017 - 18,Arsenal,Man Utd,1,12,1,3,0,1,0,1,0,0
2017 - 18,Chelsea,Newcastle,5,13,3,1,1,0,0,0,1,0
2017 - 18,West Brom,Crystal Palace,19,6,0,0,0,0,1,0,0,1
2017 - 18,Watford,Spurs,18,15,1,1,0,0,1,0,0,1
2017 - 18,Stoke,Swansea,16,17,2,1,1,0,0,0,1,0
2017 - 18,Chelsea,Swansea,5,17,1,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Burnley,2,4,1,2,0,1,0,1,0,0
2017 - 18,Arsenal,Huddersfield,1,8,5,0,1,0,0,0,1,0
2017 - 18,Stoke,Liverpool,16,10,0,3,0,1,0,1,0,0
2017 - 18,Man City,Southampton,11,14,2,1,1,0,0,0,1,0
2017 - 18,Everton,West Ham,7,20,4,0,1,0,0,0,1,0
2017 - 18,Leicester,Spurs,9,15,2,1,1,0,0,0,1,0
2017 - 18,Brighton,Crystal Palace,3,6,0,0,0,0,1,0,0,1
2017 - 18,West Brom,Newcastle,19,13,2,2,0,0,1,0,0,1
2017 - 18,Watford,Man Utd,18,12,2,4,0,1,0,1,0,0
2017 - 18,Southampton,Everton,14,7,4,1,1,0,0,0,1,0
2017 - 18,Burnley,Arsenal,4,1,0,1,0,1,0,1,0,0
2017 - 18,Huddersfield,Man City,8,11,1,2,0,1,0,1,0,0
2017 - 18,Spurs,West Brom,15,19,1,1,0,0,1,0,0,1
2017 - 18,Swansea,Bournemouth,17,2,0,0,0,0,1,0,0,1
2017 - 18,Newcastle,Watford,13,18,0,3,0,1,0,1,0,0
2017 - 18,Man Utd,Brighton,12,3,1,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Stoke,6,16,2,1,1,0,0,0,1,0
2017 - 18,Liverpool,Chelsea,10,5,1,1,0,0,1,0,0,1
2017 - 18,West Ham,Leicester,20,9,1,1,0,0,1,0,0,1
2017 - 18,Brighton,Stoke,3,16,2,2,0,0,1,0,0,1
2017 - 18,Watford,West Ham,18,20,2,0,1,0,0,0,1,0
2017 - 18,Arsenal,Spurs,1,15,2,0,1,0,0,0,1,0
2017 - 18,West Brom,Chelsea,19,5,0,4,0,1,0,1,0,0
2017 - 18,Liverpool,Southampton,10,14,3,0,1,0,0,0,1,0
2017 - 18,Leicester,Man City,9,11,0,2,0,1,0,1,0,0
2017 - 18,Crystal Palace,Everton,6,7,2,2,0,0,1,0,0,1
2017 - 18,Burnley,Swansea,4,17,2,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Huddersfield,2,8,4,0,1,0,0,0,1,0
2017 - 18,Man Utd,Newcastle,12,13,4,1,1,0,0,0,1,0
2017 - 18,Spurs,Crystal Palace,15,6,1,0,1,0,0,0,1,0
2017 - 18,Man City,Arsenal,11,1,3,1,1,0,0,0,1,0
2017 - 18,Everton,Watford,7,18,3,2,1,0,0,0,1,0
2017 - 18,Chelsea,Man Utd,5,12,1,0,1,0,0,0,1,0
2017 - 18,Huddersfield,West Brom,8,19,1,0,1,0,0,0,1,0
2017 - 18,West Ham,Liverpool,20,10,1,4,0,1,0,1,0,0
2017 - 18,Stoke,Leicester,16,9,2,2,0,0,1,0,0,1
2017 - 18,Swansea,Brighton,17,3,0,1,0,1,0,1,0,0
2017 - 18,Southampton,Burnley,14,4,0,1,0,1,0,1,0,0
2017 - 18,Newcastle,Bournemouth,13,2,0,1,0,1,0,1,0,0
2017 - 18,Burnley,Newcastle,4,13,1,0,1,0,0,0,1,0
2017 - 18,Brighton,Southampton,3,14,1,1,0,0,1,0,0,1
2017 - 18,Leicester,Everton,9,7,2,0,1,0,0,0,1,0
2017 - 18,Man Utd,Spurs,12,15,1,0,1,0,0,0,1,0
2017 - 18,West Brom,Man City,19,11,2,3,0,1,0,1,0,0
2017 - 18,Watford,Stoke,18,16,0,1,0,1,0,1,0,0
2017 - 18,Liverpool,Huddersfield,10,8,3,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,West Ham,6,20,2,2,0,0,1,0,0,1
2017 - 18,Arsenal,Swansea,1,17,2,1,1,0,0,0,1,0
2017 - 18,Bournemouth,Chelsea,2,5,0,1,0,1,0,1,0,0
2017 - 18,Everton,Arsenal,7,1,2,5,0,1,0,1,0,0
2017 - 18,Spurs,Liverpool,15,10,4,1,1,0,0,0,1,0
2017 - 18,Chelsea,Watford,5,18,4,2,1,0,0,0,1,0
2017 - 18,Swansea,Leicester,17,9,1,2,0,1,0,1,0,0
2017 - 18,Stoke,Bournemouth,16,2,1,2,0,1,0,1,0,0
2017 - 18,Newcastle,Crystal Palace,13,6,1,0,1,0,0,0,1,0
2017 - 18,Man City,Burnley,11,4,3,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Man Utd,8,12,2,1,1,0,0,0,1,0
2017 - 18,Southampton,West Brom,14,19,1,0,1,0,0,0,1,0
2017 - 18,West Ham,Brighton,20,3,0,3,0,1,0,1,0,0
2017 - 18,Leicester,West Brom,9,19,1,1,0,0,1,0,0,1
2017 - 18,Brighton,Everton,3,7,1,1,0,0,1,0,0,1
2017 - 18,Southampton,Newcastle,14,13,2,2,0,0,1,0,0,1
2017 - 18,Liverpool,Man Utd,10,12,0,0,0,0,1,0,0,1
2017 - 18,Spurs,Bournemouth,15,2,1,0,1,0,0,0,1,0
2017 - 18,Swansea,Huddersfield,17,8,2,0,1,0,0,0,1,0
2017 - 18,Man City,Stoke,11,16,7,2,1,0,0,0,1,0
2017 - 18,Crystal Palace,Chelsea,6,5,2,1,1,0,0,0,1,0
2017 - 18,Burnley,West Ham,4,20,1,1,0,0,1,0,0,1
2017 - 18,Watford,Arsenal,18,1,2,1,1,0,0,0,1,0
2017 - 18,Arsenal,Brighton,1,3,2,0,1,0,0,0,1,0
2017 - 18,Everton,Burnley,7,4,0,1,0,1,0,1,0,0
2017 - 18,Newcastle,Liverpool,13,10,1,1,0,0,1,0,0,1
2017 - 18,Man Utd,Crystal Palace,12,6,4,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Leicester,2,9,0,0,0,0,1,0,0,1
2017 - 18,Chelsea,Man City,5,11,0,1,0,1,0,1,0,0
2017 - 18,Huddersfield,Spurs,8,15,0,4,0,1,0,1,0,0
2017 - 18,West Ham,Swansea,20,17,1,0,1,0,0,0,1,0
2017 - 18,West Brom,Watford,19,18,2,2,0,0,1,0,0,1
2017 - 18,Stoke,Southampton,16,14,2,1,1,0,0,0,1,0
2017 - 18,Arsenal,West Brom,1,19,2,0,1,0,0,0,1,0
2017 - 18,Brighton,Newcastle,3,13,1,0,1,0,0,0,1,0
2017 - 18,West Ham,Spurs,20,15,2,3,0,1,0,1,0,0
2017 - 18,Swansea,Watford,17,18,1,2,0,1,0,1,0,0
2017 - 18,Stoke,Chelsea,16,5,0,4,0,1,0,1,0,0
2017 - 18,Southampton,Man Utd,14,12,0,1,0,1,0,1,0,0
2017 - 18,Man City,Crystal Palace,11,6,5,0,1,0,0,0,1,0
2017 - 18,Everton,Bournemouth,7,2,2,1,1,0,0,0,1,0
2017 - 18,Burnley,Huddersfield,4,8,0,0,0,0,1,0,0,1
2017 - 18,Leicester,Liverpool,9,10,2,3,0,1,0,1,0,0
2017 - 18,Chelsea,Arsenal,5,1,0,0,0,0,1,0,0,1
2017 - 18,Man Utd,Everton,12,7,4,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Southampton,6,14,0,1,0,1,0,1,0,0
2017 - 18,West Brom,West Ham,19,20,0,0,0,0,1,0,0,1
2017 - 18,Watford,Man City,18,11,0,6,0,1,0,1,0,0
2017 - 18,Newcastle,Stoke,13,16,2,1,1,0,0,0,1,0
2017 - 18,Liverpool,Burnley,10,4,1,1,0,0,1,0,0,1
2017 - 18,Huddersfield,Leicester,8,9,1,1,0,0,1,0,0,1
2017 - 18,Spurs,Swansea,15,17,0,0,0,0,1,0,0,1
2017 - 18,Bournemouth,Brighton,2,3,2,1,1,0,0,0,1,0
2017 - 18,West Ham,Huddersfield,20,8,2,0,1,0,0,0,1,0
2017 - 18,Burnley,Crystal Palace,4,6,1,0,1,0,0,0,1,0
2017 - 18,Swansea,Newcastle,17,13,0,1,0,1,0,1,0,0
2017 - 18,Man City,Liverpool,11,10,5,0,1,0,0,0,1,0
2017 - 18,Southampton,Watford,14,18,0,2,0,1,0,1,0,0
2017 - 18,Leicester,Chelsea,9,5,1,2,0,1,0,1,0,0
2017 - 18,Everton,Spurs,7,15,0,3,0,1,0,1,0,0
2017 - 18,Brighton,West Brom,3,19,3,1,1,0,0,0,1,0
2017 - 18,Arsenal,Bournemouth,1,2,3,0,1,0,0,0,1,0
2017 - 18,Stoke,Man Utd,16,12,2,2,0,0,1,0,0,1
2017 - 18,West Brom,Stoke,19,16,1,1,0,0,1,0,0,1
2017 - 18,Chelsea,Everton,5,7,2,0,1,0,0,0,1,0
2017 - 18,Spurs,Burnley,15,4,1,1,0,0,1,0,0,1
2017 - 18,Liverpool,Arsenal,10,1,4,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Swansea,6,17,0,2,0,1,0,1,0,0
2017 - 18,Man Utd,Leicester,12,9,2,0,1,0,0,0,1,0
2017 - 18,Bournemouth,Man City,2,11,1,2,0,1,0,1,0,0
2017 - 18,Watford,Brighton,18,3,0,0,0,0,1,0,0,1
2017 - 18,Newcastle,West Ham,13,20,3,0,1,0,0,0,1,0
2017 - 18,Huddersfield,Southampton,8,14,0,0,0,0,1,0,0,1
2017 - 18,Man City,Everton,11,7,1,1,0,0,1,0,0,1
2017 - 18,Huddersfield,Newcastle,8,13,1,0,1,0,0,0,1,0
2017 - 18,Spurs,Chelsea,15,5,1,2,0,1,0,1,0,0
2017 - 18,Swansea,Man Utd,17,12,0,4,0,1,0,1,0,0
2017 - 18,Southampton,West Ham,14,20,3,2,1,0,0,0,1,0
2017 - 18,Liverpool,Crystal Palace,10,6,1,0,1,0,0,0,1,0
2017 - 18,Leicester,Brighton,9,3,2,0,1,0,0,0,1,0
2017 - 18,Burnley,West Brom,4,19,0,1,0,1,0,1,0,0
2017 - 18,Bournemouth,Watford,2,18,0,2,0,1,0,1,0,0
2017 - 18,Stoke,Arsenal,16,1,1,0,1,0,0,0,1,0
2017 - 18,Newcastle,Spurs,13,15,0,2,0,1,0,1,0,0
2017 - 18,Man Utd,West Ham,12,20,4,0,1,0,0,0,1,0
2017 - 18,Watford,Liverpool,18,10,3,3,0,0,1,0,0,1
2017 - 18,West Brom,Bournemouth,19,2,1,0,1,0,0,0,1,0
2017 - 18,Southampton,Swansea,14,17,0,0,0,0,1,0,0,1
2017 - 18,Everton,Stoke,7,16,1,0,1,0,0,0,1,0
2017 - 18,Crystal Palace,Huddersfield,6,8,0,3,0,1,0,1,0,0
2017 - 18,Chelsea,Burnley,5,4,2,3,0,1,0,1,0,0
2017 - 18,Brighton,Man City,3,11,0,2,0,1,0,1,0,0
2017 - 18,Arsenal,Leicester,1,9,4,3,1,0,0,0,1,0
